iter	Passed	Remaining
0	2	1106
1	4	1044
2	6	997
3	8	1011
4	9	969
5	12	1004
6	13	982
7	15	968
8	17	953
9	19	936
10	20	917
11	23	965
12	25	948
13	30	1051
14	34	1122
15	43	1306
16	45	1293
17	47	1265
18	48	1233
19	50	1207
20	53	1214
21	54	1185
22	57	1194
23	60	1203
24	70	1337
25	78	1422
26	82	1449
27	85	1438
28	88	1439
29	92	1450
30	96	1461
31	100	1464
32	101	1437
33	102	1410
34	106	1417
35	109	1405
36	111	1391
37	113	1381
38	115	1361
39	117	1349
40	119	1336
41	122	1334
42	123	1315
43	129	1339
44	133	1348
45	137	1356
46	144	1388
47	148	1396
48	154	1419
49	159	1438
50	163	1437
51	165	1426
52	167	1410
53	169	1398
54	171	1387
55	172	1370
56	175	1360
57	177	1352
58	180	1350
59	184	1356
60	188	1353
61	192	1358
62	195	1357
63	198	1351
64	204	1365
65	206	1360
66	210	1363
67	216	1377
68	221	1385
69	225	1385
70	226	1370
71	228	1356
72	229	1343
73	233	1345
74	237	1344
75	242	1354
76	245	1349
77	249	1352
78	252	1347
79	255	1341
80	258	1339
81	263	1343
82	267	1345
83	269	1332
84	270	1320
85	271	1308
86	273	1297
87	277	1297
88	282	1303
89	284	1294
90	287	1291
91	290	1288
92	294	1289
93	297	1283
94	299	1278
95	302	1270
96	305	1269
97	312	1283
98	317	1284
99	321	1284
100	325	1285
101	333	1300
102	341	1318
103	346	1318
104	350	1319
105	353	1315
106	355	1307
107	357	1297
108	359	1289
109	362	1285
110	364	1277
111	367	1274
112	369	1265
113	371	1256
114	372	1247
115	374	1240
116	378	1237
117	381	1236
118	385	1232
119	388	1229
120	391	1224
121	392	1216
122	394	1208
123	396	1201
124	397	1192
125	400	1189
126	402	1182
127	404	1174
128	405	1167
129	408	1162
130	412	1162
131	414	1156
132	416	1149
133	417	1141
134	419	1133
135	420	1125
136	422	1120
137	425	1117
138	427	1110
139	430	1108
140	434	1105
141	437	1103
142	441	1102
143	445	1101
144	449	1101
145	454	1101
146	459	1103
147	465	1107
148	471	1110
149	475	1108
150	478	1107
151	482	1105
152	487	1105
153	491	1103
154	494	1101
155	497	1096
156	501	1095
157	505	1094
158	509	1091
159	510	1085
160	511	1077
161	513	1070
162	515	1065
163	519	1064
164	521	1058
165	523	1052
166	526	1049
167	529	1046
168	534	1047
169	536	1041
170	538	1035
171	539	1029
172	541	1024
173	545	1021
174	548	1017
175	551	1014
176	552	1008
177	554	1002
178	555	996
179	556	989
180	558	984
181	560	979
182	562	973
183	564	968
184	568	967
185	571	965
186	575	963
187	577	958
188	582	957
189	584	954
190	586	948
191	590	947
192	591	941
193	596	940
194	600	938
195	601	933
196	603	928
197	605	924
198	608	920
199	612	918
200	616	916
201	618	911
202	620	907
203	623	904
204	627	903
205	632	902
206	638	903
207	649	911
208	655	912
209	663	916
210	669	916
211	673	914
212	675	909
213	679	908
214	684	906
215	685	901
216	687	896
217	689	891
218	690	886
219	696	886
220	700	883
221	701	878
222	702	873
223	704	867
224	711	869
225	716	868
226	719	865
227	721	860
228	730	864
229	734	861
230	737	859
231	748	864
232	762	873
233	767	872
234	776	876
235	781	874
236	786	872
237	792	872
238	796	870
239	805	872
240	809	870
241	811	865
242	815	862
243	818	858
244	824	857
245	826	853
246	829	850
247	834	848
248	836	843
249	843	843
250	855	848
251	867	853
252	875	854
253	879	851
254	880	846
255	889	847
256	905	856
257	925	868
258	927	862
259	929	857
260	934	855
261	937	851
262	939	846
263	941	841
264	942	836
265	944	831
266	951	830
267	956	827
268	966	829
269	971	827
270	992	838
271	1001	839
272	1008	838
273	1016	838
274	1018	832
275	1030	836
276	1035	833
277	1040	830
278	1045	828
279	1047	822
280	1052	820
281	1059	819
282	1065	816
283	1076	819
284	1080	815
285	1091	816
286	1093	811
287	1101	810
288	1108	809
289	1113	806
290	1116	802
291	1124	800
292	1126	795
293	1128	790
294	1132	787
295	1139	785
296	1144	782
297	1148	778
298	1155	776
299	1157	771
300	1158	766
301	1160	761
302	1162	755
303	1163	750
304	1165	745
305	1168	740
306	1170	735
307	1172	730
308	1173	725
309	1175	720
310	1180	717
311	1186	714
312	1190	711
