iter	Accuracy	Logloss
0	0.542438604	0.6920863725
1	0.542438604	0.6912700912
2	0.5381301163	0.6908900123
3	0.542438604	0.6903018816
4	0.540715209	0.6900655431
5	0.542438604	0.6895926029
6	0.542438604	0.6892098665
7	0.540715209	0.6890926594
8	0.540715209	0.6889897566
9	0.540715209	0.6888276683
10	0.540715209	0.6886146456
11	0.542438604	0.6884184085
12	0.542438604	0.6882788492
13	0.540715209	0.6882326227
14	0.542438604	0.6881091919
15	0.542438604	0.6880239441
16	0.540715209	0.6879986818
17	0.540715209	0.6879782116
18	0.542438604	0.6879032395
19	0.542438604	0.6878660665
20	0.542438604	0.6878124431
21	0.542438604	0.6877777301
22	0.542438604	0.6877409208
23	0.542438604	0.6877201647
24	0.542438604	0.6876943071
25	0.542438604	0.6876733699
26	0.542438604	0.6876604413
27	0.542438604	0.6876564024
28	0.542438604	0.6876559591
29	0.542438604	0.6876527719
30	0.542438604	0.6876501903
31	0.542438604	0.6876500558
32	0.542438604	0.6876479903
33	0.542438604	0.6876388417
34	0.542438604	0.6876371776
35	0.542438604	0.6876314938
36	0.542438604	0.6876314934
37	0.542438604	0.6876255215
38	0.542438604	0.6876176736
39	0.542438604	0.6876113219
40	0.542438604	0.6876077465
41	0.542438604	0.6876032717
42	0.542438604	0.6876010775
43	0.542438604	0.687597873
44	0.542438604	0.6875952771
45	0.542438604	0.6875931738
46	0.542438604	0.6875914701
47	0.542438604	0.6875912931
48	0.542438604	0.6875899457
49	0.542438604	0.6875899433
50	0.542438604	0.6875895403
51	0.542438604	0.6875885276
52	0.542438604	0.6875885244
53	0.542438604	0.6875884728
54	0.542438604	0.6875881468
55	0.542438604	0.6875881468
56	0.542438604	0.6875879158
57	0.542438604	0.687587486
58	0.542438604	0.6875874846
59	0.542438604	0.6875874545
60	0.542438604	0.6875874545
61	0.542438604	0.6875874263
62	0.542438604	0.6875874167
63	0.542438604	0.6875868094
64	0.542438604	0.6875866859
65	0.542438604	0.6875866829
66	0.542438604	0.6875865183
67	0.542438604	0.6875862263
68	0.542438604	0.6875861098
69	0.542438604	0.6875859869
70	0.542438604	0.6875859807
71	0.542438604	0.6875859807
72	0.542438604	0.6875859014
73	0.542438604	0.6875858067
74	0.542438604	0.6875858047
75	0.542438604	0.6875858035
76	0.542438604	0.68758565
77	0.542438604	0.6875856414
78	0.542438604	0.6875856414
79	0.542438604	0.6875856414
