iter	Passed	Remaining
0	1	564
1	2	542
2	2	494
3	3	488
4	4	493
5	6	498
6	8	600
7	9	605
8	11	611
9	12	594
10	13	578
11	14	569
12	15	568
13	16	557
14	16	544
15	17	536
16	18	537
17	19	531
18	20	529
19	22	545
20	23	538
21	24	536
22	25	528
23	26	523
24	27	520
25	30	562
26	31	552
27	32	543
28	33	538
29	38	603
30	40	613
31	41	607
32	42	599
33	43	592
34	44	587
35	45	583
36	47	591
37	49	606
38	89	1063
39	91	1050
40	92	1034
41	93	1021
42	96	1024
43	97	1007
44	98	991
45	98	976
46	99	960
47	100	946
48	104	957
49	105	952
50	107	942
51	108	932
52	172	1450
53	173	1433
54	182	1480
55	185	1467
56	185	1445
57	186	1424
58	187	1404
59	188	1382
60	189	1362
61	192	1360
62	193	1340
63	198	1348
64	200	1342
65	201	1325
66	203	1315
67	205	1303
68	206	1292
69	210	1292
70	211	1279
71	212	1263
72	213	1250
73	215	1241
74	217	1231
75	218	1217
76	221	1219
77	227	1231
78	228	1217
79	229	1205
80	230	1191
81	231	1179
82	232	1167
83	233	1156
84	237	1158
85	239	1150
86	240	1142
87	241	1130
88	242	1119
89	243	1108
90	244	1098
91	245	1086
92	246	1076
93	246	1065
94	247	1055
95	250	1053
96	251	1044
97	252	1036
98	253	1027
99	254	1018
100	255	1009
101	256	1000
102	257	990
103	257	982
104	258	973
105	259	965
106	260	957
107	261	949
108	262	941
109	264	937
110	265	930
111	266	922
112	267	916
113	268	910
114	269	903
115	270	896
116	272	891
117	273	885
118	276	885
119	277	878
120	278	872
121	279	865
122	280	859
123	281	853
124	282	847
125	283	842
126	286	842
127	287	836
128	288	830
129	290	826
130	292	824
131	295	822
132	296	817
133	297	811
134	297	805
135	298	800
136	301	797
137	301	792
138	303	787
139	305	784
140	306	779
141	307	774
142	308	769
143	309	764
144	311	762
145	312	757
146	313	752
147	314	747
148	315	742
149	315	737
150	318	735
151	319	731
152	320	726
153	321	721
154	322	717
155	323	712
156	323	707
157	325	703
158	326	699
159	326	694
160	328	690
161	329	686
162	329	682
163	331	678
164	332	675
165	334	672
166	335	668
167	336	665
168	337	661
169	338	657
170	340	654
171	341	650
172	342	646
173	343	644
174	345	641
175	346	637
176	347	633
177	348	630
178	349	627
179	351	624
180	352	620
181	403	704
182	404	700
183	410	704
184	411	700
185	412	695
186	413	691
187	414	687
188	415	683
189	416	678
190	416	674
191	417	670
192	418	666
193	419	662
194	420	658
195	424	658
196	426	656
197	427	652
198	428	647
199	429	643
200	430	639
201	448	662
202	449	658
203	450	654
204	454	653
205	456	651
206	457	648
207	458	644
208	460	640
209	462	638
210	464	635
211	465	632
212	466	628
213	469	627
214	470	623
215	471	620
216	472	616
217	473	612
218	474	608
219	475	605
220	476	601
221	477	597
222	478	594
223	479	590
224	480	587
225	481	583
226	498	599
227	499	595
228	500	592
229	501	589
230	503	585
231	504	582
232	505	578
233	506	575
234	509	574
235	511	572
236	513	569
237	528	581
238	529	577
239	530	574
240	531	570
241	532	567
242	533	564
243	535	561
244	538	560
245	539	557
246	540	553
247	542	550
248	543	547
249	544	544
250	546	541
251	548	539
252	550	537
253	551	533
254	553	531
255	554	528
256	556	526
257	557	523
258	558	519
259	559	516
260	561	514
261	562	511
262	564	508
263	566	506
264	567	503
265	569	500
266	575	501
267	576	499
268	577	495
269	585	498
270	586	495
271	590	495
272	594	494
273	595	491
274	596	488
275	598	485
276	599	482
277	600	479
278	602	477
279	604	475
280	605	472
281	606	469
282	610	468
283	611	465
284	612	462
285	613	459
286	615	456
287	616	453
288	617	450
289	619	448
290	620	445
291	623	443
292	624	440
293	625	437
294	625	434
295	626	431
296	627	429
297	628	426
298	629	423
299	630	420
300	632	418
301	634	415
302	636	414
303	637	411
304	638	408
305	639	405
306	640	402
307	641	399
308	642	397
309	643	394
310	644	391
311	645	388
312	647	386
313	649	384
314	650	382
315	651	379
316	653	377
317	655	375
318	658	373
319	661	372
320	676	377
321	677	374
322	680	373
323	682	370
324	683	367
325	684	365
326	685	362
327	687	360
328	688	357
329	689	355
330	690	352
331	694	351
332	698	350
333	700	347
334	702	345
335	703	343
336	704	340
337	705	338
338	706	335
339	712	335
340	713	332
341	714	330
342	715	327
343	717	325
344	720	323
345	721	320
346	726	320
